  tic; main; toc           % runs, computes, saves DataFile.mat, prints tables
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 18 workers.
 : Error is 8.207498e+05 with 1 iterations
 : Error is 1.436681e+07 with 2 iterations
 : Error is 8.203173e+05 with 1 iterations
 : Error is 1.436945e+07 with 2 iterations
 : Error is 8.205202e+05 with 1 iterations
 : Error is 1.436812e+07 with 2 iterations
 : Error is 3.624666e+06 with 4 iterations
 : Error is 1.837288e+06 with 5 iterations
 : Error is 3.626421e+06 with 4 iterations
 : Error is 1.840146e+06 with 5 iterations
 : Error is 3.625530e+06 with 4 iterations
 : Error is 1.838702e+06 with 5 iterations
 : Error is 2.783394e+05 with 8 iterations
 : Error is 2.794108e+05 with 8 iterations
 : Error is 1.030826e+05 with 10 iterations
 : Error is 2.805186e+05 with 8 iterations
 : Error is 1.050785e+05 with 10 iterations
 : Error is 1.040619e+05 with 10 iterations
 : Error is 4.536030e+04 with 16 iterations
 : Error is 4.731571e+04 with 16 iterations
 : Error is 4.631286e+04 with 16 iterations
 : Error is 4.056834e+04 with 20 iterations
 : Error is 4.241274e+04 with 20 iterations
 : Error is 4.146224e+04 with 20 iterations
 : Error is 3.652737e+04 with 25 iterations
 : Error is 3.825274e+04 with 25 iterations
 : Error is 3.736138e+04 with 25 iterations
 : Error is 3.271395e+04 with 32 iterations
 : Error is 3.431673e+04 with 32 iterations
 : Error is 3.348648e+04 with 32 iterations
 : Error is 2.967998e+04 with 40 iterations
 : Error is 3.118084e+04 with 40 iterations
 : Error is 3.040125e+04 with 40 iterations
 : Error is 2.693583e+04 with 50 iterations
 : Error is 2.834287e+04 with 50 iterations
 : Error is 2.761047e+04 with 50 iterations
 : Error is 2.196490e+04 with 80 iterations
 : Error is 2.320008e+04 with 80 iterations
 : Error is 2.255380e+04 with 80 iterations
 : Error is 1.993712e+04 with 100 iterations
 : Error is 2.110139e+04 with 100 iterations
 : Error is 2.049063e+04 with 100 iterations
 : Error is 1.809215e+04 with 125 iterations
 : Error is 1.919122e+04 with 125 iterations
 : Error is 1.861342e+04 with 125 iterations
 : Error is 1.623983e+04 with 160 iterations
 : Error is 1.727258e+04 with 160 iterations
 : Error is 1.672806e+04 with 160 iterations
 : Error is 1.471519e+04 with 200 iterations
 : Error is 1.569226e+04 with 200 iterations
 : Error is 1.517584e+04 with 200 iterations
 : Error is 1.331488e+04 with 250 iterations
 : Error is 1.423947e+04 with 250 iterations
 : Error is 1.374931e+04 with 250 iterations
 : Error is 1.152329e+04 with 400 iterations
 : Error is 1.108549e+04 with 400 iterations
 : Error is 1.070123e+04 with 400 iterations
 : Error is 9.592006e+03 with 500 iterations
 : Error is 1.036667e+04 with 500 iterations
 : Error is 9.952698e+03 with 500 iterations
 : Error is 2.088706e+04 with 625 iterations
 : Error is 2.285786e+04 with 625 iterations
 : Error is 2.179657e+04 with 625 iterations
 : Error is 1.554255e+04 with 800 iterations
 : Error is 1.720373e+04 with 800 iterations
 : Error is 1.630805e+04 with 800 iterations
 : Error is 1.184011e+04 with 1000 iterations
 : Error is 1.324346e+04 with 1000 iterations
 : Error is 1.248434e+04 with 1000 iterations
 : Error is 8.823774e+03 with 1250 iterations
 : Error is 9.982044e+03 with 1250 iterations
 : Error is 9.351586e+03 with 1250 iterations
 : Error is 4.183120e+03 with 2000 iterations
 : Error is 4.867217e+03 with 2000 iterations
 : Error is 4.492367e+03 with 2000 iterations
 : Error is 2.684678e+03 with 2500 iterations
 : Error is 3.179117e+03 with 2500 iterations
 : Error is 2.909587e+03 with 2500 iterations
 : Error is 1.599042e+03 with 3125 iterations
 : Error is 1.926267e+03 with 3125 iterations
 : Error is 1.744425e+03 with 3125 iterations
 : Error is 7.999038e+02 with 4000 iterations
 : Error is 9.892641e+02 with 4000 iterations
 : Error is 8.843265e+02 with 4000 iterations
 : Error is 4.760197e+02 with 5000 iterations
 : Error is 3.743052e+02 with 5000 iterations
 : Error is 4.193692e+02 with 5000 iterations
 : Error is 1.959707e+02 with 6250 iterations
 : Error is 1.485134e+02 with 6250 iterations
 : Error is 1.696613e+02 with 6250 iterations
 : Error is 1.471577e+01 with 10000 iterations
 : Error is 9.980222e+00 with 10000 iterations
 : Error is 1.196930e+01 with 10000 iterations
 : Error is 2.691965e+00 with 12500 iterations
 : Error is 1.723316e+00 with 12500 iterations
 : Error is 2.083855e+00 with 12500 iterations
 : Error is 1.687404e-02 with 20000 iterations
 : Error is 9.314732e-03 with 20000 iterations
 : Error is 1.202399e-02 with 20000 iterations
 : Error is 5.909861e-04 with 25000 iterations
 : Error is 2.978952e-04 with 25000 iterations
 : Error is 4.121661e-04 with 25000 iterations
 : Converged with error equal to 9.994519e-07 in 33227 iterations
 : Converged with error equal to 9.996295e-07 in 33948 iterations
 : Converged with error equal to 9.996093e-07 in 34591 iterations
1.000000e-01: Error is 8.150577e+05 with 1 iterations
9.000000e-01: Error is 7.688233e+05 with 1 iterations
3.000000e-01: Error is 8.039184e+05 with 1 iterations
3.000000e-01: Error is 1.396359e+07 with 2 iterations
1.000000e-01: Error is 1.419906e+07 with 2 iterations
9.000000e-01: Error is 1.316526e+07 with 2 iterations
3.000000e-01: Error is 3.527125e+06 with 4 iterations
1.000000e-01: Error is 3.584220e+06 with 4 iterations
9.000000e-01: Error is 3.285017e+06 with 4 iterations
3.000000e-01: Error is 1.792818e+06 with 5 iterations
1.000000e-01: Error is 1.819007e+06 with 5 iterations
9.000000e-01: Error is 1.664852e+06 with 5 iterations
3.000000e-01: Error is 2.227184e+05 with 8 iterations
1.000000e-01: Error is 3.042154e+05 with 8 iterations
4.000000e-01: Error is 7.982413e+05 with 1 iterations
9.000000e-01: Error is 2.408047e+05 with 8 iterations
6.000000e-01: Error is 7.866755e+05 with 1 iterations
6.000000e-01: Error is 1.359190e+07 with 2 iterations
-1.000000e-01: Error is 8.259150e+05 with 1 iterations
-2.000000e-01: Error is 8.312399e+05 with 1 iterations
7.000000e-01: Error is 7.807895e+05 with 1 iterations
2.000000e-01: Error is 8.095239e+05 with 1 iterations
4.000000e-01: Error is 1.384261e+07 with 2 iterations
9.000000e-01: Error is 9.493816e+04 with 10 iterations
3.000000e-01: Error is 1.196205e+05 with 10 iterations
8.000000e-01: Error is 7.748379e+05 with 1 iterations
-4.000000e-01: Error is 8.416833e+05 with 1 iterations
-1.000000e-01: Error is 1.448365e+07 with 2 iterations
-2.000000e-01: Error is 1.459714e+07 with 2 iterations
7.000000e-01: Error is 1.346180e+07 with 2 iterations
1.000000e-01: Error is 9.880565e+04 with 10 iterations
2.000000e-01: Error is 1.408196e+07 with 2 iterations
8.000000e-01: Error is 1.330249e+07 with 2 iterations
-4.000000e-01: Error is 1.481829e+07 with 2 iterations
-1.000000e-01: Error is 3.653494e+06 with 4 iterations
-4.000000e-01: Error is 3.734443e+06 with 4 iterations
6.000000e-01: Error is 3.430060e+06 with 4 iterations
6.000000e-01: Error is 1.748560e+06 with 5 iterations
-1.000000e-01: Error is 1.851763e+06 with 5 iterations
-2.000000e-01: Error is 3.680951e+06 with 4 iterations
7.000000e-01: Error is 3.398057e+06 with 4 iterations
2.000000e-01: Error is 3.555852e+06 with 4 iterations
4.000000e-01: Error is 3.491349e+06 with 4 iterations
4.000000e-01: Error is 1.779410e+06 with 5 iterations
8.000000e-01: Error is 3.351274e+06 with 4 iterations
8.000000e-01: Error is 1.705652e+06 with 5 iterations
